topBid,topAsk,bidVol,askVol
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:49.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,4.0859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.5859817
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:50.0000000,6511.21,6511.22,18.00658453,1.59858924
2018-11-07T19:24:51.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,18.00658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,18.00658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.04500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.54500721
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.53919864
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.53919864
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.03919864
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.53919864
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.03919864
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.53919864
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.57176811
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,4.07176811
2018-11-07T19:24:51.0000000,6511.21,6511.22,15.50658453,1.57176811
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,4.07176811
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,4.0650629
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,4.0650629
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,3.9211945
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,3.9211945
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:52.0000000,6511.21,6511.22,15.50658453,1.15544242
2018-11-07T19:24:53.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:53.0000000,6511.21,6511.22,15.50658453,1.15123991
2018-11-07T19:24:53.0000000,6511.21,6511.22,15.50658453,3.65123991
2018-11-07T19:24:53.0000000,6511.21,6511.22,15.50658453,1.15123991
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,18.00658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,18.00658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,18.00658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,3.6060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.1060629
2018-11-07T19:24:54.0000000,6511.21,6511.22,15.50658453,1.16384744
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,1.13127797
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,1.13127797
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,1.06929094
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,1.02831645
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.97473442
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.93769442
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.90512495
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.90512495
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.89281586
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.89281586
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,3.36024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,3.36024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,0.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,5.36024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,5.36024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,5.36024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,5.36024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,5.36024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.86024639
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.8623396
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,5.3623396
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,2.8623396
2018-11-07T19:24:55.0000000,6511.21,6511.22,15.50658453,5.3623396
2018-11-07T19:24:56.0000000,6511.21,6511.22,15.50658453,2.8623396
2018-11-07T19:24:56.0000000,6511.21,6511.22,15.50658453,5.3623396
2018-11-07T19:24:56.0000000,6511.21,6511.22,15.50658453,2.8623396
2018-11-07T19:24:56.0000000,6511.21,6511.22,15.50658453,5.3623396
2018-11-07T19:24:56.0000000,6511.21,6511.22,15.50658453,2.8623396
2018-11-07T19:24:56.0000000,6511.21,6511.22,18.00658453,2.8623396
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.8814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,5.3814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.8814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,5.3814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.8814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,5.3814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.8814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,5.3814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.8814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,5.3814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.8814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,5.3814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.8814135
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.88987447
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,5.38987447
2018-11-07T19:24:57.0000000,6511.21,6511.22,18.00658453,2.88987447
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,5.38987447
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.88987447
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,5.38987447
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.88987447
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.8840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.8840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,5.3840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.8840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,5.3840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.8840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,5.3840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.8840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,5.3840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.8840659
2018-11-07T19:24:58.0000000,6511.21,6511.22,18.00658453,2.89733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,5.39733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,2.89733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,5.39733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,2.89733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,5.39733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,2.89733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,5.39733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,2.89733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,18.00658453,5.39733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,17.59658453,5.39733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,17.59658453,2.89733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,17.59658453,2.95733276
2018-11-07T19:24:59.0000000,6511.21,6511.22,17.59658453,3.41633276
2018-11-07T19:24:59.0000000,6511.21,6511.22,17.59658453,3.41924484
2018-11-07T19:24:59.0000000,6511.21,6511.22,17.59658453,3.41633276
2018-11-07T19:25:00.0000000,6511.21,6511.22,17.59658453,3.42752866
2018-11-07T19:25:00.0000000,6511.21,6511.22,17.59658453,3.41633276
2018-11-07T19:25:01.0000000,6511.21,6511.22,17.59658453,3.45337276
2018-11-07T19:25:01.0000000,6511.21,6511.22,17.59658453,3.4401059
2018-11-07T19:25:01.0000000,6511.21,6511.22,17.59658453,3.44923085
2018-11-07T19:25:02.0000000,6511.21,6511.22,17.59658453,3.4401059
2018-11-07T19:25:02.0000000,6511.21,6511.22,17.59658453,3.3801059
2018-11-07T19:25:02.0000000,6511.21,6511.22,17.59658453,3.39544371
2018-11-07T19:25:03.0000000,6511.21,6511.22,17.59658453,3.42101513
2018-11-07T19:25:03.0000000,6511.21,6511.22,17.59658453,3.39544371
2018-11-07T19:25:04.0000000,6511.21,6511.22,17.59658453,3.36533724
2018-11-07T19:25:04.0000000,6511.21,6511.22,17.59658453,3.36533724
2018-11-07T19:25:04.0000000,6511.21,6511.22,17.59658453,3.34999943
2018-11-07T19:25:04.0000000,6511.21,6511.22,18.00658453,3.34999943
2018-11-07T19:25:05.0000000,6511.21,6511.22,18.00658453,3.37275356
2018-11-07T19:25:05.0000000,6511.21,6511.22,18.00658453,3.34999943
