topBid,topAsk,bidVol,askVol
6328.16,6329.34,1.01546993,7.78166641
6328.16,6329.34,1.01546993,7.5
6328.16,6329.34,0,7.5
6328.16,6329.34,0,0
6328.16,6329.34,1,0
6328.16,6329.34,1.05773,0
6328.16,6329.34,1,0
6328.16,6329.34,1,0.29
6328.16,6329.34,1,7.79
6328.16,6329.34,0,7.79
6328.16,6329.34,0,7.5
6328.16,6329.34,0,0
6328.22,6329.36,0,0
6328.22,6329.36,0,0
6328.22,6329.36,0,9.8
6328.22,6329.36,0,2.3
6328.22,6329.36,1,2.3
6328.22,6329.36,0,2.3
6328.22,6329.36,0.01547035,2.3
6328.22,6329.36,0,2.3
6328.22,6329.36,0,2.22139609
6328.27,6329.36,0,2.22139609
6328.27,6329.36,0,0
6328.27,6329.36,0,7.5
6328.27,6329.36,0,0
6328.27,6329.36,0,1
6328.27,6329.36,0,0
6328.27,6329.36,0,7.5
6328.27,6329.36,0,10
6328.27,6329.36,0,11
6328.27,6329.36,0,8.5
6328.27,6329.36,0,7.5
6328.27,6329.36,0,0
6328.27,6329.36,0,0.34
6328.27,6329.36,0.084,0.34
6328.27,6329.36,0.084,7.84
6328.27,6329.36,0.084,0.34
6328.27,6329.36,0.084,0
6328.27,6329.36,0.084,0.34
6328.27,6329.36,0.084,0
6328.27,6329.36,0.004,0
6328.27,6329.36,0.004,0.34
6328.3,6329.36,0.004,0.34
6328.3,6329.36,1.0805328,0.34
6328.3,6329.36,1.0805328,0.34
6328.3,6329.36,1.0805328,7.84
6328.3,6329.36,0.12111,7.84
6328.3,6329.36,0.12111,0.34
6328.3,6329.36,0.35791705,0.34
6328.3,6329.36,0.35791705,0
6328.3,6329.36,1.35791705,0
6328.3,6329.36,1.55791705,0
6328.3,6329.36,1.55791705,0.01546992
6328.3,6329.36,1.51680705,0.01546992
6328.3,6329.36,1.51680705,7.51546992
6328.3,6329.36,1.31680705,7.51546992
6328.3,6329.36,0.31680705,7.51546992
6328.3,6329.36,0.31680705,0.01546992
6328.3,6329.36,0.31680705,7.51546992
6328.3,6329.36,0.31680705,0.01546992
6328.3,6329.36,0.31680705,7.51546992
6328.3,6329.36,0.08,7.51546992
6328.3,6329.36,0.08,0.01546992
6328.3,6329.36,0.08,0
6328.3,6329.36,0.08,2.3
6328.3,6329.36,0.08,0
6328.3,6329.36,0.11841,0
6328.3,6329.36,0.08,0
6328.3,6329.36,0.08,2.3
6328.3,6329.36,0.08,9.8
6328.3,6329.36,0.08,2.3
6328.3,6329.32,0.08,2.3
6328.31,6329.32,0.08,2.3
6328.31,6329.32,0.08,0
6328.31,6329.32,0,0
6328.31,6329.32,0,1
6328.31,6329.32,0,0
6328.31,6329.32,0,7.5
6328.31,6329.32,0.19,7.5
6328.31,6329.32,0.19,10
6328.31,6329.32,0.19,2.5
6328.31,6329.32,0.19,0
6328.31,6329.32,0,0
6328.31,6329.32,0.003,0
6328.31,6329.32,0.003,1
6328.31,6329.32,0.003,0
6328.31,6329.32,0.003,2.5
6328.31,6329.32,0.003,10
6328.31,6329.32,0.003,7.5
6328.31,6329.32,0.003,8.5
6328.31,6329.32,0.003,1
6328.31,6329.32,0.003,0
6328.31,6329.32,0.003,1
6328.31,6329.32,0.003,3.5
6328.31,6329.32,0.003,2.5
6328.31,6329.32,0.003,0
6328.38,6329.33,0.003,0
6328.38,6329.33,0.003,7.50226946
6328.38,6329.33,0.003,0.00226946
6328.38,6329.33,0,0.00226946
6328.38,6329.33,0,7.50226946
6328.38,6329.33,0,0.00226946
6328.38,6329.33,0,7.50226946
6328.38,6329.33,0,0.00226946
6328.38,6329.33,0,7.50226946
6328.38,6329.33,0,0.00226946
6328.38,6329.33,0,7.50226946
6328.38,6329.33,0,0.00226946
6328.38,6329.33,0.08,0.00226946
6328.38,6329.33,0.08,0
6328.39,6329.32,0.08,0
6328.39,6329.32,0,0
6328.39,6329.32,0.19,0
6328.39,6329.32,0,0
6328.38,6329.32,0,0
6328.38,6329.32,0,0
6328.38,6329.32,0.04504845,0
6328.38,6329.32,0.04363202,0
6328.39,6329.34,0.04363202,0
6328.39,6329.34,0.04363202,0
6328.39,6329.24,0.04363202,0
6328.39,6329.24,0.04363202,7.5378827
6328.39,6329.24,0.04363202,7.5
6328.39,6329.24,0.04363202,0
6328.39,6329.24,0.04363202,0.02979
6328.39,6329.24,0.25565599,0.02979
6328.39,6329.17,0.25565599,0.02979
6328.39,6329.15,0.25565599,0.02979
6328.39,6329.15,0.25565599,0.99630404
6328.39,6329.15,0.25565599,0
6328.39,6329.15,0.25426181,0
6328.41,6329.35,0.25426181,0
6328.41,6329.35,0.25426181,0
6328.41,6329.37,0.25426181,0
6328.41,6329.37,0,0
6328.4,6329.37,0,0
6328.4,6329.37,3.47665192,0
6328.4,6329.37,3.47665192,0
6328.4,6329.37,3.67413543,0
6328.4,6329.37,3.79413543,0
6328.4,6329.37,3.67413543,0
6328.4,6329.37,3.67413543,7.66541907
6328.4,6329.37,3.67413543,0.16541907
6328.4,6329.37,3.47665192,0.16541907
6328.4,6329.37,3.50242192,0.16541907
6328.4,6329.37,3.50105,0.16541907
6328.4,6329.37,3.50105,0.16227485
6328.42,6329.37,3.50105,0.16227485
6328.42,6329.37,3.50105,0.1320385
6328.42,6329.37,3.50105,0.1320385
6328.42,6329.37,3.50105,0.11364361
6328.42,6329.37,3.50105,0.11364361
6328.42,6329.37,0.12132742,0.11364361
6328.42,6329.37,0.00132742,0.11364361
6328.42,6329.37,0.00132742,0.08220145
6328.43,6329.37,0.00132742,0.08220145
6328.43,6329.37,0.06362094,0.08220145
6328.43,6329.36,0.06362094,0.08220145
6328.43,6329.36,0.0649261,0.08220145
6328.43,6329.36,0.00130516,0.08220145
6328.43,6329.36,0,0.08220145
6328.41,6329.36,0,0.08220145
6328.41,6329.36,0.02407889,0.08220145
6328.41,6329.36,0.02407889,0.08220145
6328.41,6329.36,0.02407889,0
6328.41,6329.36,0.10407889,0
6328.41,6329.36,0.29676072,0
6328.41,6329.36,0.21676072,0
6328.41,6329.36,0.21676072,1
6328.41,6329.36,0.21676072,0
6328.41,6329.36,0.02407889,0
6328.41,6329.36,0,0
6328.43,6329.37,0,0
6328.43,6329.37,0.2742602,0
6328.43,6329.37,0.2742602,0.0785055
6328.45,6329.36,0.2742602,0.0785055
6328.45,6329.36,0.2742602,0
6328.45,6329.37,0.2742602,0
6328.45,6329.37,0.2742602,0.06243292
6328.45,6329.37,0.2742602,0.06243292
6328.45,6329.37,0,0.06243292
6328.45,6329.37,0,7.56243292
6328.45,6329.37,0,0.06243292
6328.45,6329.37,0,7.56243292
6328.45,6329.37,0,0.06243292
6328.45,6329.37,0.08,0.06243292
6328.45,6329.37,0,0.06243292
6328.45,6329.37,0,0.11472201
6328.45,6329.37,0,0.0994713
6328.42,6329.37,0,0.0994713
6328.42,6329.37,0,0.0994713
6328.42,6329.37,0.00209158,0.0994713
6328.43,6329.36,0.00209158,0.0994713
6328.43,6329.36,0.00209158,0
6328.43,6329.36,0,0
6328.43,6329.36,0,0.48
6328.43,6329.36,0.00206933,0.48
6328.43,6329.36,0.00206933,0
6328.43,6329.36,0.25632953,0
6328.43,6329.33,0.25632953,0
6328.43,6329.33,0.25632953,2.96337056
6328.43,6329.33,0.25632953,2.5
6328.43,6329.33,0.25632953,0
6328.43,6329.33,0.25632953,0.46
6328.43,6329.33,0.25632953,2.96
6328.43,6329.33,0.25632953,2.5
6328.43,6329.33,0.25632953,0
6328.43,6329.33,0.25632953,0.46
6328.43,6329.33,0.25632953,2.96
6328.43,6329.33,0.25632953,2.5
6328.43,6329.33,0.25632953,0
6328.43,6329.33,0.25632953,0.46
6328.43,6329.33,0.25632953,2.76
6328.43,6329.33,0.25632953,2.3
6328.44,6329.32,0.25632953,2.3
6328.44,6329.32,0.25632953,0
6328.44,6329.32,3.5,0
6328.44,6329.32,3.5,0.46
6328.44,6329.32,3.5,0
6328.44,6329.32,3.50204707,0
6328.44,6329.3,3.50204707,0
6328.44,6329.3,3.38113762,0
6328.44,6329.3,3.38113762,0
6328.44,6329.3,3.38113762,0
6328.44,6329.3,3.38113762,0.45
6328.44,6329.3,3.38113762,0
6328.45,6329.31,3.38113762,0
6328.45,6329.31,0.10202482,0
6328.45,6329.31,0.00202482,0
6328.46,6329.31,0.00202482,0
6328.46,6329.31,0,0
6328.44,6329.31,0,0
6328.44,6329.31,0,7.55087264
6328.44,6329.31,0,0.05087264
6328.44,6329.31,0,0.03575542
6328.47,6329.31,0,0.03575542
6328.47,6329.31,0,0.03284548
6328.48,6329.31,0,0.03284548
6328.48,6329.31,0,0.03284548
6328.48,6329.31,0.09,0.03284548
6328.48,6329.31,0,0.03284548
6328.48,6329.31,0,0
6328.47,6329.26,0,0
6328.47,6329.26,0.2562389,0
6328.47,6329.26,0.2562389,0
6328.47,6329.26,0.2562389,0.47
6328.47,6329.26,0.25425859,0.47
6328.47,6329.26,0.25425859,7.97
6328.47,6329.26,0.25425859,0.47
6328.47,6329.26,0.25425859,0
6328.47,6329.26,0.25425859,7.5
6328.47,6329.26,0.25425859,0
6328.47,6329.26,0.25425859,0.47
6328.47,6329.26,0.25425859,7.97
6328.47,6329.26,0.25425859,0.47
6328.47,6329.26,0.25425859,0
6328.49,6329.24,0.25425859,0
6328.49,6329.24,0.25425859,0
6328.49,6329.24,2.5019358,0
6328.49,6329.26,2.5019358,0
6328.49,6329.26,2.5019358,7.91663555
6328.49,6329.26,2.5019358,0.41663555
6328.49,6329.26,2.5019358,7.91663555
6328.49,6329.26,0.0019358,7.91663555
6328.49,6329.26,0.0019358,0.41663555
